"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1369698_at",4.13685572222222,6.74431146296296,25.708138401055,3.85452925347886e-21,1.19872005253939e-16,36.7156967646783
"1388122_at",4.73158402777778,10.1240069814815,23.6746295396596,3.57702962043757e-20,4.72628927273852e-16,34.8444193726032
"1370902_at",7.39365077777777,7.73234381481481,23.4622631482028,4.55926808521675e-20,4.72628927273852e-16,34.6373853946229
"1395403_at",-4.65823335555555,8.50262532592593,-18.954333542855,1.33148246452036e-17,1.03519432910297e-13,29.6340184993843
"1393508_at",-4.17825707777777,6.6657808962963,-18.222480719244,3.73329427055713e-17,2.32203437040112e-13,28.6963002690109
"1370425_at",-5.1796098,9.4848114,-17.0420658385615,2.1253341213192e-16,9.77721234907392e-13,27.0972078380031
"1368121_at",3.13012655555555,11.4689052962963,17.0190763974081,2.20072949109352e-16,9.77721234907392e-13,27.0649475894252
"1374070_at",3.78793116111111,5.81837875925926,16.0343889169781,1.01714930136108e-15,3.72960937190532e-12,25.6407334380052
"1397205_at",-5.65554448333333,9.13730308888889,-15.9971701889661,1.07934288392385e-15,3.72960937190532e-12,25.5852291133043
"1369941_at",1.55573938888889,10.9100938518519,15.6977199572209,1.74708434364678e-15,5.43325760030713e-12,25.1340668489355
"1371530_at",2.07548736111111,10.6863068148148,15.5781797270515,2.12179626538383e-15,5.99870382337926e-12,24.9516540495094
"1386977_at",-5.63058779444444,11.3110834296296,-15.4030631417968,2.82661310221329e-15,7.3254034054776e-12,24.6820172363605
"1370583_s_at",4.93999830555555,7.92828946296296,15.2886387520974,3.41403297117013e-15,8.16715472080153e-12,24.5042625790462
"1367729_at",-3.20380743333333,10.4551659111111,-14.8652130696867,6.93412412938038e-15,1.54031661642572e-11,23.8354910781733
"1370479_x_at",-5.74572831111111,8.97802506296296,-14.3342390576645,1.72463653331094e-14,3.48598670439532e-11,22.9716839612175
"1368143_at",3.04901245,7.90062047777778,14.3117582864006,1.7934913428189e-14,3.48598670439532e-11,22.9344772618496
"1373960_at",2.39381256666667,6.54750117777778,14.166737402541,2.31136923561242e-14,4.12307314035098e-11,22.6931999129825
"1371777_at",1.50417302777778,9.9406992037037,14.1428122381737,2.41061329606948e-14,4.12307314035098e-11,22.6531836873005
