"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1371076_at",2.99937746551724,12.798953712766,22.6955080775502,1.40158402503419e-27,4.35878615945382e-23,48.2794225109133
"1387118_at",1.38106331609195,13.3726521170213,18.5937913787308,8.69321016046323e-24,1.35175071390123e-19,41.2734268189359
"1370698_at",1.93690391762452,12.3986998723404,18.1186475465233,2.62808477837141e-23,2.72436028408575e-19,40.3502102073192
"1368905_at",3.21850014942529,9.72313290425532,13.109802578977,1.31675937002466e-17,1.02374749120992e-13,28.9049843078337
"1387759_s_at",1.0151228697318,12.3399202978723,11.0127410895733,7.87795906700881e-15,4.89993298049814e-11,23.0673025571245
"1370580_a_at",0.492910219348659,13.672006287234,10.7224395042294,1.99600346322376e-14,1.03456186171326e-10,22.2077310770098
"1370613_s_at",0.84547180842912,13.1301633723404,10.6309373904101,2.68152256791276e-14,1.19132386199313e-10,21.9342449845629
"1378126_at",0.89661920421456,6.55850101489362,10.4507753958459,4.81030219040579e-14,1.86994484774287e-10,21.3922246512457
"1369698_at",3.04987015478927,7.24719433191489,10.2508463016363,9.24399971730072e-14,3.19421274675928e-10,20.7852842077915
"1398307_at",0.777418454980843,13.1332997553191,10.02292117235,1.95824457783964e-13,6.08994481262349e-10,20.0864584025512
"1369061_at",1.35137874712644,8.45953090638298,9.76872626508541,4.55664494364463e-13,1.28824637365822e-09,19.2985905508768
"1389391_at",0.93974815210728,8.11115744893617,9.71724481089784,5.41166531401731e-13,1.40247816333854e-09,19.1379539013106
"1392267_at",0.761770177777777,6.90315922978723,9.56672043954615,8.96326218768826e-13,2.14421915980705e-09,18.6662410266679
"1398759_at",-1.57606103831418,10.4506908617021,-9.47033038932034,1.23988836348331e-12,2.75423487256911e-09,18.3626023582172
"1387094_at",1.26606541762452,11.1952112446809,9.35966977976109,1.80185821865329e-12,3.33296619973914e-09,18.0125222659428
"1372132_at",1.19306952490421,9.90978917021277,9.35641718227639,1.82180160913762e-12,3.33296619973914e-09,18.0022087195204
"1369850_at",0.845370648275862,5.82789697659574,9.35639518966178,1.82193721327262e-12,3.33296619973914e-09,18.002138979318
"1395540_at",0.950806290804598,6.97175204468085,9.30906247178723,2.1387370669268e-12,3.69514355801981e-09,17.8519007343679
"1368497_at",0.859547350574713,11.0208006702128,9.11547213201484,4.13064433349292e-12,6.76099516459454e-09,17.2344993379378
"1387669_a_at",0.86941370019157,13.1491167234043,9.05354356287797,5.10303857604555e-12,7.93496983382203e-09,17.0360205404676
"1387022_at",1.56364723371647,11.6403512234043,8.7986707275988,1.22316609598734e-11,1.81139249614811e-08,16.2143582003966
"1387093_at",0.992332909961688,12.3774150744681,8.77680088607804,1.31884535552104e-11,1.8643078050613e-08,16.1435030730531
"1369969_at",0.747806316091954,9.63238207446808,8.62502392305071,2.22710790656138e-11,3.01134038200663e-08,15.6502946271884
"1388440_at",0.799051746168582,9.18975873404255,8.54470174458412,2.94131661009576e-11,3.81133355239034e-08,15.388265596376
"1384170_at",1.15407502547893,6.40810255106383,8.27155169265631,7.60686209080186e-11,9.46263216647388e-08,14.492194285712
"1371875_at",1.19952822969349,8.11799483404255,8.11806473147269,1.30097544410117e-10,1.55611674369624e-07,13.9854954836914
"1384887_at",0.819188045402299,6.35915707021277,8.05093060750927,1.64610621744999e-10,1.89600952801767e-07,13.7631973972415
"1368180_s_at",0.724455095785441,13.5612693191489,8.02113517227563,1.82750111643698e-10,2.02976632928835e-07,13.6644113395885
"1387129_at",0.665378072605364,7.5177547,7.94241198686907,2.40958622947037e-10,2.58399041897583e-07,13.4030453814056
"1382843_at",1.08347015823755,8.67322469574468,7.92719958439885,2.54196336950306e-10,2.63508396093919e-07,13.352480177757
"1371877_at",-0.745047536015325,7.53361694042553,-7.82803889215114,3.60360328261474e-10,3.57952158165174e-07,13.0224236668545
"1369012_at",-0.692799095977011,5.96518083404255,-7.82183527903444,3.68322745467236e-10,3.57952158165174e-07,13.0017495254294
"1382067_at",0.640471055747127,6.69625508510638,7.7906540029046,4.11104443758563e-10,3.87422336255986e-07,12.8977908877545
"1391570_at",1.49973394980843,6.54900913404255,7.72372402051069,5.20569122671637e-10,4.76152327822507e-07,12.6744035242767
"1368213_at",1.73840748084291,9.87472168085106,7.68927796573091,5.87881562646792e-10,5.22357963335788e-07,12.5593105224579
"1371571_at",1.06622520402299,11.6329285531915,7.59100218243086,8.32000703352875e-10,7.0142659499761e-07,12.2305024019507
"1389581_at",-1.49635235613027,6.86329819787234,-7.5901468097527,8.34521496347522e-10,7.0142659499761e-07,12.2276377380153
"1370583_s_at",1.71350427681992,7.33889195744681,7.56991914459829,8.96420305763319e-10,7.33625660235091e-07,12.1598812552065
"1378842_at",0.62320123908046,8.76988485744681,7.54072302128487,9.9398455587745e-10,7.92613479570072e-07,12.0620380432721
"1393349_x_at",0.99170703448276,8.04403564042553,7.52964065479191,1.03375042783461e-09,8.03715113880715e-07,12.0248846625133
"1373970_at",-1.56642900249042,7.69352623829787,-7.49777273183142,1.15722699805899e-09,8.77770790552109e-07,11.9180070617779
"1387109_at",1.61290332088123,10.0220366382979,7.43671967845866,1.43667302241397e-09,1.06378796009647e-06,11.7130845514037
"1373110_at",-1.34147465191571,7.33078122553191,-7.29161181177304,2.40387472803859e-09,1.71252496702002e-06,11.225236186698
"1371572_at",1.46412393103448,9.98068611702128,7.28938638934119,2.42294281323775e-09,1.71252496702002e-06,11.2177463202803
"1380278_at",0.616841540229886,10.9149860212766,7.2603686905863,2.68591419154173e-09,1.85620545428347e-06,11.1200639255838
"1383946_at",-1.68109513927203,6.73294702553191,-7.24498879859387,2.83671142858579e-09,1.91780192864325e-06,11.0682753365326
"1379046_at",0.655122931226053,6.27303065957447,7.23811354512788,2.90684036497698e-09,1.92340060660466e-06,11.0451210282145
"1395403_at",-2.63133861226054,8.43177786808511,-7.22517411905782,3.04357435522765e-09,1.94588430816375e-06,11.0015384811663
"1370994_at",0.439807867816092,6.6166545787234,7.22311126963487,3.06596132030046e-09,1.94588430816375e-06,10.994589743442
"1389318_at",-0.535343670498085,9.00458228723404,-7.21302364619324,3.17783739793038e-09,1.97655130476474e-06,10.9606068880979
"1368184_at",0.520412967432951,8.75251259574468,7.20248411795238,3.29910007604446e-09,2.01173947578248e-06,10.9250971983632
"1398265_at",-0.693763301915708,6.70060685957447,-7.13420136042589,4.20533295233087e-09,2.5150317208565e-06,10.694934058426
"1380533_at",1.83308424176245,8.50376502340426,7.11645561456479,4.47922866383321e-09,2.6282930606896e-06,10.6350895701248
"1372597_at",0.5889885,8.19952093617021,7.01174210069317,6.50085551264753e-09,3.70459074579546e-06,10.281751646553
"1384171_x_at",1.09589569157088,6.32907928085106,7.00955105246932,6.55173770921092e-09,3.70459074579546e-06,10.2743548400188
"1371680_at",0.630850431992338,10.4128635,6.99099547629599,6.99895902735993e-09,3.88679690699762e-06,10.2117075136926
"1391626_at",1.12592995842912,6.41073446808511,6.97312765652848,7.45847701993302e-09,4.06931889198065e-06,10.1513737687616
"1399019_at",0.633513108237549,9.01422537234042,6.96763416459844,7.60573970281159e-09,4.07811894858168e-06,10.1328224593809
"1383223_at",0.56263234099617,8.75439968085106,6.92406653583892,8.88160916108227e-09,4.68151124238132e-06,9.98567143184908
"1372297_at",0.873257413793105,11.4152514042553,6.86666810641911,1.08953267541516e-08,5.64722944545603e-06,9.79174673363492
"1372914_at",0.58070821072797,10.4666322659574,6.78540579427624,1.45516113356414e-08,7.3411031572139e-06,9.51710598776768
"1390549_at",-0.838306678160919,8.74363477659574,-6.78379225479611,1.46354672416239e-08,7.3411031572139e-06,9.51165190845922
"1374493_at",-0.902945913601532,7.11014623191489,-6.77393330386243,1.5158442751033e-08,7.38136070906659e-06,9.47832615966167
"1387077_at",0.717126119731801,9.88015971276596,6.77334144019949,1.51904268748275e-08,7.38136070906659e-06,9.47632548082444
"1367868_at",0.750730108620691,7.4202833,6.73517112561322,1.74022767658309e-08,8.32605238677806e-06,9.34729203389769
"1393008_at",0.839734731417625,7.80944914042553,6.72563397753034,1.80034973519875e-08,8.39990087744464e-06,9.31505041735502
"1369932_a_at",0.409589695402299,10.1679967234043,6.72418204526646,1.80968313704232e-08,8.39990087744464e-06,9.3101419183018
"1370952_at",0.74294933908046,12.3422033829787,6.70825230431169,1.91531670536049e-08,8.7594756205891e-06,9.2562880752875
"1368929_at",0.782826510344828,6.61898331276596,6.70102556572927,1.96525068859298e-08,8.8575842267468e-06,9.23185619782955
"1384169_a_at",1.36823265823755,6.60087541702128,6.68759890871792,2.06150522376218e-08,9.15867870768288e-06,9.18646340777804
"1389345_at",0.652893590038315,8.93350268085106,6.66883286233977,2.20398595927489e-08,9.65376892218168e-06,9.1230185351202
"1396178_at",0.562808872413793,7.01089214893617,6.65774733767476,2.29273533681837e-08,9.90302447773812e-06,9.08554004114168
"1372602_at",0.793280711685824,10.1575018829787,6.64253168523138,2.42039564074573e-08,1.03112169906235e-05,9.03409823228588
"1384427_at",1.33851883659004,8.33608849574468,6.60162064673226,2.79998668577616e-08,1.17341442015391e-05,8.8957865359331
"1375253_at",0.63433445651341,6.66969826170213,6.59863942014026,2.82986853312144e-08,1.17341442015391e-05,8.885707870321
"1388450_at",-1.0810965210728,9.720552,-6.57986645704232,3.02549695025271e-08,1.23802539020933e-05,8.82224301959693
"1385005_at",-1.81612790478927,6.82019893617021,-6.57522881303401,3.07587102452784e-08,1.24229237651677e-05,8.80656509689911
"1373379_at",0.561052652298851,10.3384288404255,6.55162643383384,3.34552223004817e-08,1.33387686964446e-05,8.72677790196657
"1375775_at",-0.564042406321839,4.73534145106383,-6.5112743372602,3.86235377658375e-08,1.51721374123091e-05,8.5903810518979
"1386859_at",0.69247511494253,11.086304712766,6.50833875236043,3.90292611654629e-08,1.51721374123091e-05,8.58045901267235
"1370593_at",0.304284726053641,13.8566138723404,6.48936497120358,4.17562442315367e-08,1.59841100763038e-05,8.51633193687344
"1396150_at",-1.10289186877395,8.21586382340426,-6.48675501227225,4.21459540903858e-08,1.59841100763038e-05,8.50751126332734
"1370387_at",1.96850849137931,8.46275237234043,6.45777360077966,4.67252370684684e-08,1.75073270794253e-05,8.40957217675363
"1398528_at",-0.7100869348659,4.98360680851064,-6.44371089330587,4.91230339649682e-08,1.80315226760818e-05,8.3620541200107
"1388487_at",0.525076302681993,9.53898936170213,6.44279222596736,4.92838813938374e-08,1.80315226760818e-05,8.35895005759006
"1373810_at",1.47962019750958,8.26373790425532,6.41392771017781,5.46145550219426e-08,1.94018905475918e-05,8.26142886749591
"1381560_at",-0.498861749808429,6.32506320851064,-6.41273377954048,5.4847036458272e-08,1.94018905475918e-05,8.25739544062667
"1394991_at",0.598390998659004,7.27394097234043,6.41245733912064,5.49010054403062e-08,1.94018905475918e-05,8.25646155302826
"1373452_at",-0.361303520114942,10.6836289574468,-6.400671761928,5.72518597484627e-08,2.00053436664881e-05,8.21664836223648
"1398771_at",0.667710132183908,9.99314669148936,6.39303295494069,5.88289552601833e-08,2.02098783891087e-05,8.19084515833088
"1370121_at",0.47483366302682,7.48095403404255,6.39156519666511,5.91369154445125e-08,2.02098783891087e-05,8.18588735703516
"1375708_at",-0.497574008429119,6.16116227234043,-6.38640550990431,6.02323282503096e-08,2.0360491046265e-05,8.16845934346744
"1391128_at",-0.390482374329502,7.19844494468085,-6.38192119940058,6.120079006486e-08,2.04427211674751e-05,8.15331308284868
"1369667_at",0.507704083524905,7.1070669106383,6.3792262177769,6.17902758848407e-08,2.04427211674751e-05,8.1442107154687
"1390785_at",0.548557886973181,9.47547527659574,6.36726181316604,6.44764722916568e-08,2.11068822294551e-05,8.10380282121584
"1376038_at",0.911243850574713,9.4402520106383,6.35180399963272,6.81202182172907e-08,2.206740277437e-05,8.05160195435017
"1387916_at",-0.587817326628351,9.59398106382979,-6.34381092518459,7.00842209773611e-08,2.24038428151923e-05,8.02461195063676
"1388185_at",-0.724154158812261,6.78527190425532,-6.33911569343132,7.12641347495415e-08,2.24038428151923e-05,8.0087585129762
"1386904_a_at",0.36466078927203,13.3920175212766,6.33889534665859,7.1319992241038e-08,2.24038428151923e-05,8.00801452794447
"1368397_at",0.286699585249043,12.9916448829787,6.33413883949765,7.25364626464678e-08,2.2558114518425e-05,7.99195486085452
"1383288_at",1.07279422318008,8.2716372,6.31767200802979,7.69099299633716e-08,2.34689526053957e-05,7.93636205394668
"1376272_s_at",0.61176254789272,10.3426620638298,6.31743557771659,7.6974602583696e-08,2.34689526053957e-05,7.93556391290166
"1383485_at",1.16761086015326,6.9844927212766,6.30239966275345,8.12008782547273e-08,2.45171467266385e-05,7.88480924053653
